  قائمة حزب النضال التقدمي 
 القائمة الشبابية المستقلة الوفاء
 القائمة المستقلة من أجل جبهة وطنية
 قائمة  من أجل جبهة وطنية تونسية 
 قائمة أفق بوجعفر
 قائمة الاتحاد الديمقراطي الوحدوي
 قائمة الاتحاد الشعبي الجمهوري
 قائمة التآلف الجمهوري
 قائمة التنمية والحقوق المدنية
 قائمة التنميـــة
 قائمة الحركة الإصلاحية التونسية 
 قائمة الحزب الإصلاحي الدستوري
 قائمة الحزب الشعبي للحرية و التقدم 
 قائمة الحزب الليبرالي المغاربي
 قائمة الديمقراطية والعدالة الاجتماعية
 قائمة الصباح الجديد
 قائمة العبور
 قائمة الفضيلة
 قائمة الوعد الصادق 
 قائمة تسامح
 قائمة تونس الحرة
 قائمة حركة الديمقراطية والتنمية
 قائمة حركة الديمقراطيين الاشتراكيين
 قائمة حركة الكرامة والتنمية
 قائمة حركة الوطنيين الديمقراطيين
 قائمة حزب الاتحاد الشعبي الجمهوري
 قائمة حزب الانفتاح والوفاء
 قائمة حزب التحالف من أجل تونس
 قائمة حزب الخضر للتقدم (الخضر)
 قائمة حزب الخضر للتقدّم (الخضر)
 قائمة حزب العدل و التنمية
 قائمة حزب العمال الشيوعي التونسي (البديل الثوري) 
 قائمة حزب المجد
 قائمة حزب النضال التقدمي
 قائمة حزب تونس الخضراء
 قائمة عينك على بلادك
 قائمة فجر الحرية
قائمة العمل (الحزب الدستوري الجديد)
قائمة الائتــلاف الديمقراطي المستقل طريق السلامة
قائمة حزب المستقبل بلادي
-قائمة الإتلاف الديمقراطي المستقل - طريق السلامة
إلى الأمام
اصوات مستقلة
الأخوة التونسية
الأصالة و المعاصرة
الإندماج
الاتلاف الوطني للسلم والنماء
الامل في الحريةٌ و الدمٌقراطيةٌ
البديل من أجل المواطنة التونسيةٌ
التحدي و الإبتكار
التفاني في خدمة الوطن
الد يمٌقراطيّةٌ المباشرة
الديمقراطيون التونسيون بإيطاليا
الرا يةٌ الوطنيةٌ
الشباب المتحضر الطموح
القائمة التقدمية المستقلة 
القائمة الحرّة المستقلة
القائمة الشبابية التقدمية
القائمة الشعبية 
القائمة المستقلة الاتحاد
القائمة المستقلة التقدمية للحريات و العدالة الإجتماعية
القائمة المستقلة العدالة
القائمة المستقلة الوحدة الوطنية
القائمة المستقلة دستورنا
القائمة المستقلة شغل حرية كرامة عدالة
القائمة المستقلة لحركة الديموقراطيين الاشتراكيين
القائمة المستقلة للحرية والتنمية
القائمة المستقلة للشباب
القائمة المستقلة للوسط الغربي
القائمة المستقلة للوطنيين الأحرار
القائمة المستقلة من أجل السيادة
القائمة حركة الوطنيون الديمقراطيون
القائمة حزب تونس الخضراء
المسار الثوري
المستقلون بألمانيا
المهاجرون الأحرار
المهاجرون المستقلون
النصر لأحرار تونس
الوطنيةٌ و الكرامة
الوعد
الوفاق المهجري التونسي
الولاء للوطن
امل تونس الحدثيٌة
تآخًي
توانسة عبر الحدود
تونس أفق جديدٌ
تونس أولا
تونس الجديدة مستقلة متضامنة
تونس للجميع والجميع لها فداء
تونسنا الكل
حريةٌ و التزام
شمس بلادي
صوت التونسي المقيمٌ بفرنسا
صوت التونسيين بالخارج
صوت المستقلونٌ الوطنيّونٌ الاحرار
صوت المهاجر
صوت مستقل
فجر الثورة
قائم البديل الثوري
قائمة  الاتحاد الديمقراطي الوحدوي 
قائمة  التآلف الجمهوري
قائمة  التفاؤل لمستقبل واعد
قائمة  الحركة الإصلاحية التونسية
قائمة  الحزب الليبرالي المغاربي
قائمة  الحكمة 
قائمة  الخير
قائمة  العريضة الشعبية للحرية و العدالة و التنمية 
قائمة  العمل الديمقراطي الجمهوري
قائمة  القطب الديمقراطي الحداثي 
قائمة  حركة الديمقراطيين الإشتراكيين  
قائمة  حركة مواطنة
قائمة  شباب التأسيس 
قائمة  يزينا قهر,,, يزينا حقرة
قائمة 14جانفي
قائمة 15جانفي
