م إبتدائية 2 مارس 34 الموخر - وشتاتة,001
م إبتدائية البرانصية - الدورة,002
م إبتدائية البلدة - القلعة,003
م إبتدائية البياضة - الصرية,004
م إبتدائية الحدائق غار الدماء,005
م إبتدائية الحوش القلعة - المعدن,006
م إبتدائية الخنقة - عين سلطان,007
م إبتدائية الدورة - الدورة,008
م إبتدائية الرحيم - الصرية,009
م إبتدائية الزرايبية - المراسن,010
م إبتدائية السلاطنية - القلعة,011
م إبتدائية الصرى - فج حسين,012
م إبتدائية الصرية,013
م إبتدائية الطارف - المراسن,014
م إبتدائية العيون - عين سلطان,015
م إبتدائية الغرة -  المعدن,016
م إبتدائية امحمد الأزرق - الرخاء,017
م إبتدائية أولاد حريز - الرخاء,018
م إبتدائية أولاد علي - المراسن,019
م إبتدائية بوريحان - الصرية,020
م إبتدائية حي الزهور - غار الدماء,021
م إبتدائية حي النهوض - غار الدماء الشمالية,022
م إبتدائية سيدي بلقاسم -  القلعة,023
م إبتدائية شارع بورقيبة - غار الدماء,024
م إبتدائية عرقوب الصابون - وشتاتة,025
م إبتدائية عين جابر - فرقصان,026
م إبتدائية عين سلطان,027
م إبتدائية فج حسين,028
م إبتدائية فج حسين الغابة,029
م إبتدائية كاف النسور - فرقصان,030
م إبتدائية ميسوة - عين سلطان,031
م إبتدائية نهج البجاوي - غار الدماء,032
م إبتدائية نهج بلهوان - غار الدماء,033
م إبتدائية هنشير الحمام الصرية,034
م إبتدائية وادي معدن - المعدن,035
المعهد الثانوي أبو القاسم الشابي*,091
معهد  غار الدماء*,092
