م إبتدائية الأمل سد كساب,001
م إبتدائية البلدية,002
م إبتدائية التوايتية - السمران,003
م إبتدائية الثريات - بولعابة,004
م إبتدائية الحمام بوعوان,005
م إبتدائية الخليفات - غزالة,006
م إبتدائية السمران,007
م إبتدائية الشواولة بوسالم,008
م إبتدائية العهد الجديد - العواوضة,009
م إبتدائية العواوضة,010
م إبتدائية النصايبية - بني امحمد,011
م إبتدائية الهادي خليل - عسيلة,012
م إبتدائية أولاد حسن - كساب,013
م إبتدائية أولاد سعيدان - الشواولة,014
م إبتدائية بغوره - بولعابة,015
م إبتدائية بلطة,016
م إبتدائية بني امحمد,017
م إبتدائية بولعابة عن محطة بن بشير,018
م إبتدائية جربنة بوسالم - كساب,019
م إبتدائية حفرة الجنة - الشواولة,020
م إبتدائية ريغة - غزالة,021
م إبتدائية سيدي عبدالله - غزالة,022
م إبتدائية عين الحاج - العواوضة,023
م إبتدائية عين فضة - بني امحمد,024
م إبتدائية مركز عبد الجبار,025
م إبتدائية منجم بوعوان,026
م إعدادية ببوعوان*,091
