م إبتدائية  14 جانفي العين,001
م إبتدائية الحرية سوق السيارات - عيون المايل,002
م إبتدائية الحسنى - الأفران الشمالية,003
م إبتدائية الرشاد الجديدة - قرمدة,004
م إبتدائية العرفات - عيون المايل,005
م إبتدائية برشانة - العوابد,006
م إبتدائية بوزيان,007
م إبتدائية بومرة - الخزانات,008
م إبتدائية سيدي خليفة الطياري - الخزانات,009
م إبتدائية سيدي عبد الكافي - عيون المايل,010
م إبتدائية صالح واردة مركز الخراط - العين,011
م إبتدائية طريق منزل شاكر كلم 17 - الخزانات,012
م إبتدائية عين الشرفي - الخزانات,013
م إبتدائية عين تركية - العوابد,014
م إبتدائية عيون المايل,015
م إبتدائية مركز الجلولي - الأفران الشمالية,016
م إبتدائية مركز السلامي - بوزيان,017
م إبتدائية مركز الشيخ ابراهيم - الخزانات,018
م إبتدائية مركز القصاص - العين,019
م إبتدائية مركز بن حليمة - الأفران الشمالية,020
م إبتدائية مركز بوخذير - العوابد,021
م إبتدائية مركز علولو - العين,022
م إبتدائية مركز كمون - بوزيان,023
م إبتدائية مركز معلى - العين,024
م إبتدائية مركز والي - الأفران الشمالية,025
م.إعدادية  الحبيب الشعبوني بصفاقس,026
م.إعدادية  مصطفى السلامي  بصفاقس,027
م.إعدادية ابن الهيثم بصفاقس,028
م إعدادية الحبيب الشعبوني بصفاقس*,091
