م إبتدائية الثقافة تالة - تالة الغربية,001
م إبتدائية نهج الهادي شاكر تالة - تالة الغربية,002
م إبتدائية  فلسطين - تالة الغربية,003
م إبتدائية شاكر الاحواز - الدشرة,004
م إبتدائية الحمام - الدشرة,005
م إبتدائية سيدي سهيل 2 - عين الجديدة,006
م إبتدائية الزعفران تالة - عين الجديدة,007
م إبتدائية  14 جانفي الجوى 2,008
م إبتدائية هنشير القمرية - الحماد,009
م إبتدائية السفايـة - الحماد,010
م إبتدائية الشـار 2 - الحماد,011
م إبتدائية زلفان الغربية,012
م إبتدائية جبل بولحناش,013
م إبتدائية العهد الجديد تالة - بو الأحناش,014
م إبتدائية عمرون تالة - سيدي امحمد,015
م إبتدائية تالة مهيري - تالة الشرقية,016
م إبتدائية شارع بورقيبة تالة - تالة الغربية,017
م إبتدائية أولاد غيدة - الدشرة,018
م إبتدائية سيدي سهيل1 - عين الجديدة,019
م إبتدائية هندي الدولة - وادي الرشح,020
م إبتدائية الشار 1 - الجوى,021
م إبتدائية بئر شعبان - الحماد,022
م إبتدائية هنشير الورغي - زلفان,023
م إبتدائية عيون الحمر - بو الأحناش,024
م إبتدائية سيدي امحمد,025
م إبتدائية العرقوب1 - ولجة الظل,026
م إبتدائية الشافعي,027
م إعدادية ابن فرات,091
