م إبتدائية ولجة الدخان - السلوقية,001
م إبتدائية جباس - السلوقية,002
م إبتدائية تافرشة - السلوقية,003
م إبتدائية السنايسيـة - أولاد سلامة,004
م إبتدائية حي غرناطة تستور,005
م إبتدائية حي الروضة السلوقية - تستور,006
م إبتدائية عين يونس,007
م إبتدائية زلدو - مزوغة,008
م إبتدائية وادي الجدرة - مزوغة,009
م إبتدائية وادي الزرقاء 2,010
م إبتدائية بن عطية تستور 1 - تستور,011
م إبتدائية ابن خلدون تستور 1 - 26 فيفري,012
م إبتدائية مزوغة,013
م إبتدائية القلاع - زلدو,014
م إبتدائية أولاد سلامة,015
م إبتدائية السلوقية,016
م إبتدائية عين طنقا - عين يونس,017
م إبتدائية الصخيرة,018
م إبتدائية وادي الزرقاء 1,019
م إبتدائية وادي الزيتون - سيدي عامر,020
م إعدادية ابن عطية *,091
