م إبتدائية العهد الجديد - نفزة الشرقية,001
م إبتدائية أم العبيد - نفزة الغربية,002
م إبتدائية الطويلــــة - نفزة الغربية,003
م إبتدائية الحمايدية - وشتاتة,004
م إبتدائية الطارف - وشتاتة,005
م إبتدائية الوليجة - الزوارع,006
م إبتدائية أولاد هويمل - بالليف,007
م إبتدائية جبل الديس,008
م إبتدائية الصنادل - جبل الديس,009
م إبتدائية بوقرنونــة - زاقة,010
م إبتدائية طبوبة - الطبابة,011
م إبتدائية قرسطاية - وادي المعدن,012
م إبتدائية الجميلة,013
م إبتدائية الجمهورية نفزة - نفزة الشرقية,014
م إبتدائية نفزة مهيري - نفزة الغربية,015
م إبتدائية وشتاتة,016
م إبتدائية وادي داموس - كاب نيقرو,017
م إبتدائية أولاد سالم - الزوارع,018
م إبتدائية رأس الوادي نفزة - بوزنة,019
م إبتدائية مقطع حديد تبردقة,020
م إبتدائية أولاد قاسم - بالليف,021
م إبتدائية عش الزيتون - جبل الديس,022
م إبتدائية الرميلة - فطناسة,023
م إبتدائية غياضة,024
م إبتدائية زاقة,025
م إبتدائية الطبابة,026
م إبتدائية وادي المعدن باجة,027
م إبتدائية جميل نفزة - الجميلة,028
م إبتدائية الظهيرات,029
م إعدادية ابن شرف نفزة*,091
