م إبتدائية الجديدة الحديثة - حشاد,001
م إبتدائية الجديدة القديمة,002
م إبتدائية الحبيبية الجديدة,003
م إبتدائية الذنيبة الجديدة - حشاد,004
م إبتدائية الزاهرة الجديدة,005
م إبتدائية الفوز الجديدة - الجديدة القديمة,006
م إبتدائية المعافرين الجديدة - شواط,007
م إبتدائية المنصورة 1 الجديدة,008
م إبتدائية المنصورة 2 الجديدة,009
م إبتدائية حي الاذاعة الجديدة - الجديدة القديمة,010
م إبتدائية حي النجاة الجديدة - الجديدة القديمة,011
م إبتدائية سيدي سالم التباسي - حشاد,012
م إبتدائية شواط الجديدة - شواط,013
م إعدادية الرياض بالجديدة*,091
