م إبتدائية سيدي مبارك - الحمراء,001
م إبتدائية الغرفة - الفرايجية,002
م إبتدائية المهيري عمدون - زهرة مدين,003
م إبتدائية سيدي سعدون - زهرة مدين,004
م إبتدائية شارع بورقيبة عمدون - زهرة مدين,005
م إبتدائية المرقاقة - الفرايجية,006
م إبتدائية تاميسة - الرماضنية,007
م إبتدائية مغراوة,008
م إبتدائية عين السخونة - صباح,009
م إبتدائية المجالس عمدون - المجالس,010
م إبتدائية هنشير الدغرق - الحمراء,011
م إبتدائية هنشير بورويس - غزية,012
م إبتدائية مرج النصارى - بني مالك,013
م إبتدائية هنشير السخونة - الطرهوني,014
م إبتدائية القوسة,015
م إبتدائية الجوزة عمدون - الجوزة,016
م إعدادية ابن سينا عمدون*,091
