م إبتدائية  14 جانفي بلخير - الطلح الغربية,001
م إبتدائية 2 /3 حوال الوادي - الطلح الغربية,002
م إبتدائية 9 افريل الطلح بلخير - جبيلة الوسط,003
م إبتدائية الاكتاب بلخير - العيايشة,004
م إبتدائية العهد الجديد بلخير - الطلح الغربية,005
م إبتدائية العيايشة بلخير,006
م إبتدائية اولاد الحاج بلخير,007
م إبتدائية اولاد زايد بلخير - الطلح الشرقية,008
م إبتدائية اولاد منصوربلخير,009
م إبتدائية باطن اولاد منصور بلخير,010
م إبتدائية باطن زمور الطلح بلخير - جبيلة الوسط,011
م إبتدائية برج الحي - بلخير,012
م إبتدائية بوبلال بلخير - الطلح الغربية,013
م إبتدائية بورقيبة بكو بلخير - الطلح الغربية,014
م إبتدائية جبل العيايشة بلخير,015
م إبتدائية جبيلة الوسط بلخير,016
م إبتدائية زيتونة العيايشة بلخير,017
م إعدادية ببلخير*,091
