م إبتدائية  2مارس 34 سوق الأجد - المنشية,001
م إبتدائية  3سبتمبر 34 بوعبدالله,002
م إبتدائية الأمل بشري,003
م إبتدائية المنشية,004
م إبتدائية النجاح فطناسة الغربية,005
م إبتدائية أم الصمعة,006
م إبتدائية أم الصمعة الشرقية - ام الصمعة,007
م إبتدائية بشري,008
م إبتدائية بوعبدالله,009
م إبتدائية بوعبدالله الشمالية,010
م إبتدائية جزيرة الوحيشي - المنشية,011
م إبتدائية زاوية الحرث - ام الصمعة,012
م إبتدائية زاوية العانس,013
م إبتدائية شوشة نقة,014
م إبتدائية فطناسة,015
م إبتدائية نقة,016
مركزالصحة الاساسية القليعة,017
م إعدادية بالمنشية*,091
