م إبتدائية  2مارس 34 جلمة - جلمة الغربية,001
م إبتدائية الأبيض,002
م إبتدائية الأزريق الجنوبية - الإزيرق,003
م إبتدائية الأزيرق الشمالية - الإزيرق,004
م إبتدائية الانطلاقة - باطن الغزال الشمالية,005
م إبتدائية الحمروني - الأبيض,006
م إبتدائية الحوية - باطن الغزال الشمالية,007
م إبتدائية الخضاورية - جلمة الشرقية,008
م إبتدائية الدهيسة - باطن الغزال الجنوبية,009
م إبتدائية الشوائحية - الأبيض,010
م إبتدائية العريش - الحمامة,011
م إبتدائية العضلة - الأبيض,012
م إبتدائية الفنيدق - جلمة الشرقية,013
م إبتدائية القور - جلمة الغربية,014
م إبتدائية المحافظية  14 جانفي - زغمار,015
م إبتدائية النصر - الأبيض,016
م إبتدائية أولاد عاشور - الحمامة,017
م إبتدائية أولاد عبد الله - جلمة الغربية,018
م إبتدائية بنجويد - جلمة الشرقية,019
م إبتدائية جلمة - جلمة الغربية,020
م إبتدائية جلمة الشمالية - جلمة الغربية,021
م إبتدائية زغمار - سلتة,022
م إبتدائية سلتة 2,023
م إبتدائية سيدي علي بن جاء بالله - الحمامة,024
م إبتدائية عين جفال - سلتة,025
م إبتدائية عين مدور - سلتة,026
م إبتدائية غدير الزيتونة,027
م إبتدائية غدير القايد - جلمة الغربية,028
م إبتدائية قلال جلمة - غدير الزيتونة,029
م إبتدائية هنشير سلتة,030
م إعدادية  جلمة*,091
