م إبتدائية ذراع الجديد - أفران,001
م إبتدائية الجباس - البريكة,002
م إبتدائية أولاد نصر الله - البريكة,003
م إبتدائية الحازة,004
م إبتدائية العطف - الحازة,005
م إبتدائية بيرانو - الرطيبات,006
م إبتدائية العذيــرة,007
م إبتدائية هنشير سيدي سعد - المزيرعة,008
م إبتدائية أولاد عبيد - المزيرعة,009
م إبتدائية أم الاحواض - أولاد محفوظ,010
م إبتدائية أم فدغة - أولاد محفوظ,011
م إبتدائية السلطنية - بودرياس,012
م إبتدائية أولاد بنجاح - خمودة الجنوبية,013
م إبتدائية البنانة - خمودة الجنوبية,014
م إبتدائية المروانة - خمودة الشمالية,015
م إبتدائية الهريش - خمودة الشمالية,016
م إبتدائية الفتح فوسانة,017
م إبتدائية أولاد بركة - فوسانة,018
م إبتدائية أولاد غانم - فوسانة الأحواز,019
م إبتدائية السواني - فوسانة الأحواز,020
م إبتدائية أولاد زيد - فوسانة الأحواز,021
م إبتدائية  2مارس 34 فوسانة,022
م إبتدائية الساطور - فوسانة الأحواز,023
م إبتدائية خمودة الشمالية - خمودة الشمالية,024
م إبتدائية خمودة الجنوبية,025
م إبتدائية هنشير الصيودة - أولاد محفوظ,026
م إبتدائية هنشير صحراوي - أفران,027
م إبتدائية هنشير خليل - المزيرعة,028
م إبتدائية زاوية المولدي - العذيرة,029
م إبتدائية منزل نور - الحازة,030
م إبتدائية أولاد منصور - البريكة,031
م إبتدائية بودرياس,032
م إبتدائية عين الجنان,033
م إبتدائية وادي الرشح - الرطيبات,034
م إعدادية 14 جانفي فــوســانــة*,091
