م إبتدائية  2مارس 34 الصخيرة,001
م إبتدائية  المالحة - الخضراء,002
م إبتدائية البشير المهذبي - الصخيرة,003
م إبتدائية الجروالة الصخيرة - القنيطرة,004
م إبتدائية الحادثة - الخضراء,005
م إبتدائية الحمادة سيدي مهذب - الصخيرة,006
م إبتدائية الخبيات - نوال,007
م إبتدائية الخوي - الصخيرة,008
م إبتدائية الساطور - القنيطرة,009
م إبتدائية الشفافرة - الخضراء,010
م إبتدائية الشفافرة الشرقية - الخضراء,011
م إبتدائية الشوكات - سيدي محمد,012
م إبتدائية الغرايرة - صبيح,013
م إبتدائية الفريشات - الحمادة,014
م إبتدائية القنيطرة,015
م إبتدائية المغذية1 - سيدي محمد,016
م إبتدائية المغذية2 - سيدي محمد,017
م إبتدائية النوال,018
م إبتدائية بوسعيد - الصخيرة,019
م إبتدائية حمادة أولاد الحاج موسى,020
م إبتدائية حمادة أولاد النفاتي - سيدي محمد,021
م إبتدائية حمادة فندق الشيباني - الصخيرة,022
م إبتدائية سيدي محمد نويقص - سيدي محمد,023
م إبتدائية سيدي مهذب - الصخيرة,024
م إبتدائية صبيح الجنوبية - الخضراء,025
م إبتدائية صبيح الشرقية - الخضراء,026
م إبتدائية صبيح النور - صبيح,027
م إبتدائية نوال الجديدة - نوال,028
م إبتدائية نوال الشمالية - نوال,029
م إبتدائية هنشير الرمث - الخضراء,030
م إبتدائية هنشير القصير - القنيطرة,031
م إبتدائية وادي السروج - نوال,032
م إبتدائية وادي النخلة - الصخيرة,033
م إعدادية 2مارس طريق الشاطئ الصخيرة*,091
