م إبتدائية  2مارس 34 الحنشة,001
م إبتدائية البطاطحة - الحجارة,002
م إبتدائية البياضين - مركز مصباح,003
م إبتدائية الجلايلة - بئر الشعبة,004
م إبتدائية الجمال - مركز مصباح,005
م إبتدائية الحجارة 1,006
م إبتدائية الحجارة 2,007
م إبتدائية الحلالفة - سيدي حسن بالحاج,008
م إبتدائية الحلالفة الجنوبية - سيدي حسن بالحاج,009
م إبتدائية الخشارمة - دخان,010
م إبتدائية الطهــاهرة - دخان,011
م إبتدائية الغرابة - النصر,012
م إبتدائية الغطاطسة - مركز مصباح,013
م إبتدائية الغيب - بئر الشعبة,014
م إبتدائية المنصورة - الحنشة,015
م إبتدائية النيب - بئر الشعبة,016
م إبتدائية أولاد احمد 2 - الحنشة,017
م إبتدائية أولاد حمـد 1 - الحنشة,018
م إبتدائية أولاد طاهر - الحنشة,019
م إبتدائية أولاد عمر 1 - بئر صالح,020
م إبتدائية أولاد عمر 2 - بئر صالح,021
م إبتدائية بئر الشعبة,022
م إبتدائية بئر صالح,023
م إبتدائية دخان الشرقية,024
م إبتدائية دخان المحطة,025
م إبتدائية سيدي حسن بلحاج,026
م إبتدائية سيدي غريب - الحنشة,027
م إبتدائية سيدي محمد بن عمر - النصر,028
م إبتدائية مركز مصباح طريق الحنشة,029
م إبتدائية هنشير الجب - الجواودة,030
م إبتدائية وادي الرقة - سيدي حسن بالحاج,031
م إعدادية  14 جانفي 2011  بالحنشة*,091
