م إبتدائية  2مارس 34 سيدي مخلوف,001
م إبتدائية 9أفريل سيدي مخلوف,002
م إبتدائية ابن سينا سيدي مخلوف - عمرة,003
م إبتدائية البريكات - الراقوبة الشرقية,004
م إبتدائية البياز - الغباي,005
م إبتدائية الجرف تماسنت - الجرف,006
م إبتدائية الراقوبة الشرقية,007
م إبتدائية الراقوبة الغربية,008
م إبتدائية الصعدان - عمرة,009
م إبتدائية الغباي - الراقوبة الشرقية,010
م إبتدائية القرين - سيدي مخلوف,011
م إبتدائية القصبات - القصبة,012
م إبتدائية القصبة الشرقية - القصبة,013
م إبتدائية القصيبة - الجرف,014
م إبتدائية المغراوية,015
م إبتدائية ام حسن - المغراوية,016
م إبتدائية بدوي,017
م إبتدائية خضير - الجرف,018
م إبتدائية دروج الشرقية - الدرجاوة,019
م إبتدائية دروج الغربية - الدرجاوة,020
م إبتدائية راس واد دروج - الدرجاوة,021
م إبتدائية راس وادي الغباي - الراقوبة الشرقية,022
م إبتدائية سند بن عايد - الراقوبة الغربية,023
م إبتدائية شعبة صالي - عمرة,024
م إبتدائية عمرة القديمة,025
م إبتدائية كوتين - الراقوبة الغربية,026
م إبتدائية هنشير غزال - الجرف,027
م إبتدائية وادي موسى - الراقوبة الغربية,028
م إعدادية خير الدين باشا بسيدي مخلوف*,091
