م إبتدائية نهج شارل ديقول - باب  بحر,001
م إبتدائية نهج روسيا عدد17 - باب  بحر,002
م إبتدائية  16نهج روسيا - باب  بحر,003
م إبتدائية 18نهج الهند - الحدائق,004
م إبتدائية  80نهج عبد الرزاق الشرايبي - بحيرة تونس,005
م إبتدائية  29نهج مرسيليا - الحبيب ثامر,006
م إبتدائية 12نهج علي الجليلي - الهادي شاكر,007
م إبتدائية نهج الإدريسي - سيدي البحري,008
معهد نهج روسيا تونس*,091
م إعدادية نهج المغرب تونس*,092
م إعدادية  نهج المحطة تونس*,093
م إعدادية  نهج لينين تونس*,094
معهد بورقيبة النموذجي تونس*,095
