م إبتدائية البد - القصر,001
م إبتدائية التفاحة - سيدي نصر,002
م إبتدائية القريعات1 - القريعات,003
م إبتدائية   14 جانفي سيدي الرايس,004
م إبتدائية الرحيبة مجاز الباب - مجاز الباب المدينة,005
م إبتدائية نهج 18 جانفي 52 مجاز الباب - مجاز الباب الجنوبية,006
م إبتدائية سيدي مدين,007
م إبتدائية القصر تستور,008
م إبتدائية الهري,009
م إبتدائية توكابر,010
م إبتدائية شواش,011
م إبتدائية سيدي نصر مجاز الباب,012
م إبتدائية سيدي احمد الجديدي,013
م إبتدائية القريعات 2 - القريعات,014
م إبتدائية حيدوس,015
م إبتدائية شارع بورقيبة مجازالباب - المواطيس,016
م إبتدائية قريش الوادي,017
م إبتدائية العرقوب - سيدي الرايس,018
م إعدادية مدللة حورية*,091
