م إبتدائية رأس الذراع توزر - رأس الذراع حلبة,001
م إبتدائية أبو الفضل النحوي توزر - رأس الذراع حلبة,002
م إبتدائية حلبة توزر - رأس الذراع حلبة,003
م إبتدائية طريق الحامة توزر - رأس الذراع حلبة,004
م إبتدائية حي السلام توزر - حي المطار,005
م إبتدائية أبو قاسم الشابي توزر - الشابية,006
م إبتدائية ابن الشباط توزر - الشابية,007
م إبتدائية بلاد الحضر توزر,008
م إبتدائية زاوية بوليفة توزر - الحضر,009
م إبتدائية نهج تونس توزر - الزبدة,010
م إبتدائية نهج الشابي توزر - الهبائلة,011
م إبتدائية غرة جوان توزر - الإزدهار,012
م إبتدائية  14 جانفي توزر - حي المطار,013
م إبتدائية الشابية توزر,014
م إبتدائية جهيم توزر - الحضر,015
م إعدادية ابن شباط*,091
