م إبتدائية 2 مارس 34 مزونة - الخوي,001
م إبتدائية الأمل مزونة,002
م إبتدائية البوع - السد,003
م إبتدائية البوع 2 - السد,004
م إبتدائية الديايرية - الغريس الشرقية,005
م إبتدائية العهد الجديد -أولاد دلالة - الخوي,006
م إبتدائية الغريس الشرقية - الغريس الشرقية,007
م إبتدائية الفوني - الخوي,008
م إبتدائية القزقازية - البسباس,009
م إبتدائية القوارص - الخبنة,010
م إبتدائية المزونة,011
م إبتدائية أولاد عمر - الدوارة,012
م إبتدائية بوهدمة,013
م إبتدائية حي النور - المزونة,014
م إبتدائية طلح الخبنة,015
م إبتدائية طلح المراقب - بوهدمة,016
م إبتدائية غدير الربايع - الخوي,017
م إبتدائية فرجان - البسباس,018
م إبتدائية فرفار - السد,019
م إبتدائية هداج - بوهدمة,020
م إبتدائية هداج2 - بوهدمة,021
م إبتدائية هنشير الخيمة - الخوي,022
م إبتدائية واد الدم - الدوارة,023
م إعدادية بالمزونة*,091
