م إبتدائية نهج بن خليفة سيدي علوان - سيدي علوان الغربية,001
م إبتدائية البعالجة - سيدي علوان الغربية,002
م إبتدائية العيايطة - ساقية الخادم,003
م إبتدائية الماجرية - وادي باجة الجنوبية,004
م إبتدائية أولاد عائشة - زالبة الغربية,005
م إبتدائية قشانة - وادي قلات,006
م إبتدائية وادي قلات,007
م إبتدائية الأمل وادي باجة - السعادة,008
م إبتدائية الزوازي - السعادة,009
م إبتدائية سيدي علوان بورقيبة - سيدي علوان الغربية,010
م إبتدائية زردة,011
م إبتدائية ساقية الخادم,012
م إبتدائية أولاد بالليل - البساتين,013
م إبتدائية وادي باجة - وادي باجة الشمالية,014
م إبتدائية سعفات وادي باجة - وادي باجة الجنوبية,015
م إبتدائية زالبة الشرقية,016
م إبتدائية زالبة الغربية,017
م إبتدائية المصيفة - النزهة,018
م إبتدائية الشواش - وادي قلات,019
م إبتدائية الصعدة - السعادة,020
م إعدادية بسيدي علوان*,091
