م إبتدائية الاخلاص مركز دمق - الهدى,001
م إبتدائية الإسعاد - مركز شاكر,002
م إبتدائية التحرير طريق العين - مركز شاكر,003
م إبتدائية المراكشي 1 - وادي الرمل,004
م إبتدائية المراكشي 2 - وادي الرمل,005
م إبتدائية النصر وادي الرمل - حي الحبيب,006
م إبتدائية الهدى طريق المطار - الهدى,007
م إبتدائية حي البحري 2 - حي البحري,008
م إبتدائية حي البحري 3 - حي البحري,009
م إبتدائية حي البحري 4 - حي البحري,010
م إبتدائية حي الحبيب 1,011
م إبتدائية حي الحبيب 2,012
م إبتدائية حي السرور - مركز شاكر,013
م إبتدائية حي المسعدين - حي الحبيب,014
م إبتدائية حي النور - الهدى,015
م إبتدائية خليل بن احمد المحارزة - سكرة,016
م إبتدائية سيدي الجيلاني - العالية,017
م إبتدائية مركز دمق - العالية,018
م.إعدادية  الهادي العيادي حي الحبيب بصفاقس,019
م.إعدادية  حي النور بصفاقس,020
م.إعدادية  علي النوري  بصفاقس,021
م.إعدادية  غرة ماي بصفاقس,022
م.إعدادية  محمد محفوظ بصفاقس,023
م.إعدادية ابن عرفة حي البحري بصفاقس,024
معهد  حي الحبيب بصفاقس,025
معهد  محمود مقديش بصفاقس,026
معهد مصطفى الفراتي يصفاقس,027
م إعدادية ابن عرفة حي البحري بصفاقس*,091
