م إبتدائية 2 مارس 34- قليبية - قليبية الشرقية,001
م إبتدائية الانطلاقة حي اسمر - قليبية الغربية,002
م إبتدائية البوشة - أزمور,003
م إبتدائية الميناء - قليبية الغربية,004
م إبتدائية النصر ملول,005
م إبتدائية حي الرياض - قليبية الشرقية,006
م إبتدائية زاوية ازمور,007
م إبتدائية ســاحـة الجمهورية - قليبية الغربية,008
م إبتدائية سيدي احمد - قليبية الشرقية,009
م إبتدائية سيدي بوضاوي - قليبية الغربية,010
م إبتدائية سيدي معاوية قليبية - أزمور,011
م إبتدائية طريق الشاطئ - قليبية الشرقية,012
م إبتدائية ملول,013
م إبتدائية منزل ابراهيم - أزمور,014
م إبتدائية منزل بلقاسم - أزمور,015
م إبتدائية نهج ليبيــا - قليبية الشرقية,016
م إبتدائية وادي الخطف,017
م إعدادية علي بالهوان قليبية*,091
