م إبتدائية 34/3/2قلعة سنان,001
م إبتدائية الجديدة قلعة سنان,002
م إبتدائية حي الملعب - قلعة سنان,003
م إبتدائية أولاد ابراهيم - الفالتة,004
م إبتدائية بوهراوة - المحجوبة,005
م إبتدائية عين عناق - عين سنان,006
م إبتدائية النصر قلعة سنان,007
م إبتدائية بوجابر,008
م إبتدائية بئر حميدة - الصفصاف,009
م إبتدائية واد بوصالح - مزيتة,010
م إبتدائية الفالتة,011
م إبتدائية الربيبة - سد الخير,012
م إبتدائية المنجم قلعة سنان - عين سنان,013
م إبتدائية الحميمة,014
م إبتدائية المحجوبة,015
المعهد الثانوي بقلعة سنان*,091
