م إبتدائية الهواني - أولاد الشامخ الجنوبية,001
م إبتدائية الحرية - أولاد الشامخ الشمالية,002
م إبتدائية لمانع - أولاد الشامخ الشمالية,003
م إبتدائية الرزايقية - أولاد عمر,004
م إبتدائية الدراغثة - أولاد عمر,005
م إبتدائية أولاد بوزيد - العجيلات,006
م إبتدائية العجيلات,007
م إبتدائية البراشنية - السمرة,008
م إبتدائية المنيدرة - المحارزة الشمالية,009
م إبتدائية الفوز - أولاد الشامخ الجنوبية,010
م إبتدائية أولاد الشامخ 6 - أولاد الشامخ الجنوبية,011
م إبتدائية أولاد الشامخ 7 - أولاد الشامخ الشمالية,012
م إبتدائية أولاد عمر,013
م إبتدائية الشحيمات الشمالية,014
م إبتدائية فريق العمارات - العجيلات,015
م إبتدائية السمرة,016
م إبتدائية بئر بو سليم,017
م إبتدائية الغرارقة - المحارزة الشمالية,018
م إعدادية أولاد شامخ*,091
