م إبتدائية حي التعمير سوسة - الهادي شاكر,001
م إبتدائية  بوخيزر - الهادي شاكر,002
م إبتدائية بوحسينة,003
م إبتدائية نهج المنصف باي سوسة - محمد القروي,004
م إبتدائية الصفايا سوسة - محمد القروي,005
م إبتدائية الامتياز سهلول 1 - وادي بليبان,006
م إبتدائية خزامة الغربية - وادي بليبان,007
م إبتدائية الطموح سهلول - وادي بليبان,008
م إبتدائية الأخلاق حمام سوسة - سهلول,009
م إبتدائية الوفاء سهلول - وادي بليبان,010
م إبتدائية وادي غنيم - حشاد,011
م إبتدائية نهج الغزالي سوسة - الهادي شاكر,012
م إبتدائية  14 جانفي بوحسينة سوسة,013
م إبتدائية نهج الحكيم قرول سوسة - محمد القروي,014
م إعدادية محمد العروي بسوسة*,091
