م إبتدائية  14 جانفي بوغرارة,001
م إبتدائية  2مارس 1934 مدنين - مدنين الجنوبية,002
م إبتدائية  9افريل مدنين - اللبة,003
م إبتدائية الحرية - بوغرارة,004
م إبتدائية الحلفاوي - بوغرارة,005
م إبتدائية الدرغولية,006
م إبتدائية الرجاء مدنين - مدنين الجنوبية,007
م إبتدائية السمار - حسي مدنين,008
م إبتدائية السويطير,009
م إبتدائية الصنم - حسي عمر,010
م إبتدائية العياطي - بوغرارة,011
م إبتدائية الفرجانية - عمرة الجديدية,012
م إبتدائية اللبة,013
م إبتدائية النصر الحي الصناعي مدنين - مدنين الجنوبية,014
م إبتدائية بوغرارة,015
م إبتدائية تاجرجمت - بوغرارة,016
م إبتدائية حسي الجليدي - حسي عمر,017
م إبتدائية حسي الحداد - حسي عمر,018
م إبتدائية حسي ضيف الله - اللبة,019
م إبتدائية حسي عمر - الدرغولية,020
م إبتدائية حسي مدنين - حسي مدنين,021
م إبتدائية حي الحبيب مدنين - مدنين الجنوبية,022
م إبتدائية حي النسيم - مدنين الشرقية,023
م إبتدائية حي طليق بوغرارة,024
م إبتدائية حي مارس - اللبة,025
م إبتدائية حي هلال - الدرغولية,026
م إبتدائية شعاب الربايع - بوغرارة,027
م إبتدائية طريق تطاوين - مدنين الجنوبية,028
م إبتدائية علاّمات حسي عمر - الدرغولية,029
م إبتدائية عمرة الجديدة,030
م إبتدائية قرار بن مغلية - الدرغولية,031
م إبتدائية قرار بوغرارة,032
م إبتدائية نهج المهيري مدنين - مدنين الجنوبية,033
م إبتدائية وادي السدر,034
م إبتدائية وادي الطعام - حسي عمر,035
معهد مدنين *,091
