م إبتدائية فندرة - الجواودة,001
م إبتدائية القوازين - الجواودة,002
م إبتدائية  الرماضنية الأمل - الجواودة,003
م إبتدائية الرويسات,004
م إبتدائية سيدي محمود - الرويسات,005
م إبتدائية القرين - الشبيكة,006
م إبتدائية الشبيـكة 2 حي صابرين,007
م إبتدائية المجدوب - الشبيكة,008
م إبتدائية ورفلة - الشبيكة,009
م إبتدائية ذراع عفان - الكرمة,010
م إبتدائية   14 جانفي الهوارب - الكرمة,011
م إبتدائية الملالسة -  سيدي علي بن سالم,012
م إبتدائية الفراجنية - عبيدة,013
م إبتدائية الصوالحية - عبيدة,014
م إبتدائية  الحميدات الأمل - عبيدة,015
م إبتدائية النجــاح - هماد,016
م إبتدائية الشبيكة المركز,017
م إبتدائية الجواودة الهداية,018
م إبتدائية العوامرية,019
م إبتدائية فج الرويسات,020
م إبتدائية عبيدة الشرقية - عبيدة,021
م إبتدائية سيدي علي بن سالم,022
م إبتدائية عبيدة الغربية - هماد,023
م إبتدائية قرية الهوارب - الكرمة,024
م إعدادية الشبيكة*,091
