م إبتدائية أولاد عباس - الجدرة,001
م إبتدائية المسيلة - الجدرة,002
م إبتدائية ماجل عكروت - الماجل الجنوبية,003
م إبتدائية الناصرية - الماجل الجنوبية,004
م إبتدائية سيدي رابح - الماجل الجنوبية,005
م إبتدائية العيايشة - الماجل الجنوبية,006
م إبتدائية الأمل - الماجل الشمالية,007
م إبتدائية الهدايــة - الماجل الشمالية,008
م إبتدائية السماعلية - الناظور,009
م إبتدائية الفكة - أم الأقصاب,010
م إبتدائية النجاح - أم الأقصاب,011
م إبتدائية أولاد مرزوق - أم الأقصاب,012
م إبتدائية الشوايبية - أم الأقصاب,013
م إبتدائية السواني - أم الأقصاب,014
م إبتدائية أولاد مبارك - صولة,015
م إبتدائية صولة,016
م إبتدائية ذراع الحمام - صولة,017
م إبتدائية   14 جانفي - الماجل الشمالية,018
م إبتدائية بروكة - الماجل الجنوبية,019
م إبتدائية أم الأقصاب,020
م إبتدائية الناظور,021
م إبتدائية هنشير أم الخير,022
م إبتدائية العباسية - صولة,023
م إبتدائية الجدرة,024
م إعدادية بماجل بلعباس*,091
