م إبتدائية سيدي عمر بن زغيد - وادي الرمل الجنوبية,001
م إبتدائية السمانة - وادي الرمل الجنوبية,002
م إبتدائية النعيمة - وادي الرمل الجنوبية,003
م إبتدائية حمام ملاق - وادي الرمل الجنوبية,004
م إبتدائية حي البساتين الكاف - الحوارث الجنوبية,005
م إبتدائية سواني العنب - الحوارث الجنوبية,006
م إبتدائية حروش - الحوارث الجنوبية,007
م إبتدائية حي الطيب المهيري الكاف - الحوارث الجنوبية,008
م إبتدائية سواني العنب 2 الكاف - وادي الرمل الشمالية,009
م إبتدائية  14 جانفي الكردمي - وادي الرمل الجنوبية,010
م إبتدائية برنوصة - الحوارث الجنوبية,011
م إعدادية ببرنوصة*,091
