م إبتدائية جبل الخروب - السلوم,001
م إبتدائية الرميلة - السلوم,002
م إبتدائية مقسم التراب - الكامور,003
م إبتدائية الكامور,004
م إبتدائية قصر الطويل - الكامور,005
م إبتدائية السودان - الكامور,006
م إبتدائية  14 جانفي دخلة سيدي بوجمعة - الكامور,007
م إبتدائية الفرش1 حاسي الفريد - الكامور,008
م إبتدائية القويرة - الهشيم,009
م إبتدائية عين سالم - الهشيم,010
م إبتدائية عين سيدي محمود - حاسي الفريد,011
م إبتدائية الساهلة - حاسي الفريد,012
م إبتدائية المحافير حاسي فريد,013
م إبتدائية العمامرية - حاسي الفريد,014
م إبتدائية بئر حمودة - حاسي الفريد,015
م إبتدائية اللبيبات حاسي الفريد - خنقة الجازية,016
م إبتدائية  2مارس 34 حاسي الفريد,017
م إبتدائية الهشيم,018
م إبتدائية خنقة الجازية,019
م إبتدائية المزيرعة - السلوم,020
م إبتدائية الفكة - الكامور,021
م إعدادية بحاسي الفريد*,091
