م إبتدائية   القرصوليـــن - الرعينين,001
م إبتدائية 34/3/2المحج - الطيب المهيري,002
م إبتدائية ابن خلدون - الطيب المهيري,003
م إبتدائية التميمية - الطيب المهيري,004
م إبتدائية الداموس - العصفور,005
م إبتدائية الرعينين,006
م إبتدائية السد البساتين - العصفور,007
م إبتدائية السعادة - الطيب المهيري,008
م إبتدائية السعادة منـــــزل حـــــرّ,009
م إبتدائية السودان - الوديان,010
م إبتدائية الشعيبين - لزدين,011
م إبتدائية الشمردل - الصقالبة,012
م إبتدائية الشيخ مبارك - علي البلهوان,013
م إبتدائية الصقالبة,014
م إبتدائية العفة - الطيب المهيري,015
م إبتدائية الغريس - الصقالبة,016
م إبتدائية الفرابي منزل حرّ,017
م إبتدائية القبة - الصقالبة,018
م إبتدائية القمبار - الوديان,019
م إبتدائية القيطون - الوديان,020
م إبتدائية الوديان,021
م إبتدائية بني حماد - بني عبد العزيز,022
م إبتدائية تامزراط - العصفور,023
م إبتدائية زهيوة - الطيب المهيري,024
م إبتدائية سيدي جمال الدين - علي البلهوان,025
م إبتدائية سيدي عبد المنعم - بني عبد العزيز,026
م إبتدائية لزدين,027
م إبتدائية منزل عيسى - الرعينين,028
م إعدادية نهج الاندلس منزل تميم*,091
