م إبتدائية علي بلهوان - الجريصة الشمالية,001
م إبتدائية حي المهندسين - الجريصة الجنوبية,002
م إبتدائية عين القارصة - الجريصة الجنوبية,003
م إبتدائية فج التمر,004
م إبتدائية القراعية - فج التمر,005
م إبتدائية الحيادرة - فج التمر,006
م إبتدائية النعايم,007
م إبتدائية  14 جانفي الجريصة - جريصة المركزية,008
م إبتدائية المنجم الجريصة - الجريصة الشمالية,009
م إبتدائية بطحاء السوق - الجريصة الجنوبية,010
م إبتدائية أم الكليل - بسريانة,011
م إبتدائية عين الزرقاء - فج التمر,012
م إبتدائية وادي سراط - النعايم,013
المعهد الثانوي بالجريصة *,091
