م إبتدائية   14 جانفي تبلبو,001
م إبتدائية  2مارس 34 حي الازدهار - المنطقة الخامسة,002
م إبتدائية ابن خلدون قابس - المنطقة الخامسة,003
م إبتدائية التمولة - تبلبو,004
م إبتدائية الشماسة - سيدي بولبابة,005
م إبتدائية المدو,006
م إبتدائية المنارة تبلبو,007
م إبتدائية الموازير,008
م إبتدائية النور المكفوفين - المنطقة الخامسة,009
م إبتدائية تبلبو,010
م إبتدائية حي الأمل 1 - سيدي بولبابة,011
م إبتدائية حي الأمل 4 - سيدي بولبابة,012
م إبتدائية حي المنارة - المنطقة الخامسة,013
م إبتدائية سيدي بولبابة قابس,014
م إبتدائية عين زرريق - زريق الدخلانية,015
م إبتدائية غماقة قابس - المدو,016
م إبتدائية ليماوة,017
م إبتدائية مطرش - تبلبو,018
م إبتدائية مطرش الشاطئ - المنطقة الخامسة,019
م إبتدائية وادي السدر - المدو,020
م إعدادية النور للمكفوفين بقابس*,091
