م إبتدائية المنيهلة,001
م إبتدائية حي النصر 1 عن المنيهلة,002
م إبتدائية الجمهورية 2 المنيهلة,003
م إبتدائية جمهورية 1 - المنيهلة,004
م إبتدائية النصر 3 المنيهلة,005
م إبتدائية ابن سينا المنيهلة,006
م إبتدائية الرفاهة  - المنيهلة,007
م إبتدائية حدائق المنيهلة,008
م إبتدائية واد الرومي 2 البساتين,009
م إبتدائية واد الرومي 1 - البساتين,010
م إبتدائية واد الرومي3 - البساتين,011
م إبتدائية حي النصر 2 عن المنيهلة,012
م إبتدائية الصنهاجي عن المنيهلة - الرفاهة,013
م إبتدائية البساتين,014
م إعدادية المنيهلة*,091
