م إبتدائية 2مارس المحرس,001
م إبتدائية الآمال المحرس,002
م إبتدائية السكاينة - سيدي غريب,003
م إبتدائية السمارة,004
م إبتدائية العادي - الشفار,005
م إبتدائية القطيفة الشفار,006
م إبتدائية القطيفة سيدي غريب,007
م إبتدائية المواساة - المحرس الجنوبية,008
م إبتدائية بوعكازين - الشفار,009
م إبتدائية خاوي الغزال - السمارة,010
م إبتدائية عيثة الشلايا,011
م إبتدائية موريج - الشفار,012
م إبتدائية نقطة - الشفار,013
م إبتدائية نهج الشهداء - المحرس,014
م.إعدادية  بالمحرس,015
م إعدادية التقنية بالمحرس*,091
