م إبتدائية أفّي - المسائرية,001
م إبتدائية الجواودة - المسائرية,002
م إبتدائية السعادي طريق المهدية - بودربالة,003
م إبتدائية العامرة 1,004
م إبتدائية العامرة 2,005
م إبتدائية العقاربة - بودربالة,006
م إبتدائية العوابد - بودربالة,007
م إبتدائية الغلالبة - السلام,008
م إبتدائية الفيض - العامرة,009
م إبتدائية الكتاتنة - ذراع بن زياد,010
م إبتدائية المهارة - السلام,011
م إبتدائية أولاد مسلم,012
م إبتدائية بليانة,013
م إبتدائية بليانة الشرقية - بليانة,014
م إبتدائية عين غزال - المسائرية,015
المعهد الثانوي بالعامرة*,091
