م إبتدائية 34/3/2الغرابي - منزل بوزلفة الجوفية,001
م إبتدائية الرحمة,002
م إبتدائية الشرفين - الرحمة,003
م إبتدائية العامرين - منزل بوزلفة القبلية,004
م إبتدائية العيثة عن منزل بوزلفة - الرحمة,005
م إبتدائية القصيرات - الرحمة,006
م إبتدائية الكلبوسي منزل بوزلفة - منزل بوزلفة الجوفية,007
م إبتدائية النصر - منزل بوزلفة الجوفية,008
م إبتدائية النوالات - منزل بوزلفة الغربية,009
م إبتدائية بلهويشات - منزل بوزلفة الغربية,010
م إبتدائية بني غانم - منزل بوزلفة الجوفية,011
م إبتدائية بوشريك - الرحمة,012
م إبتدائية داموس الحاجة,013
م إبتدائية رينش - داموس الحاجة,014
م إبتدائية شارع بورقيبة - منزل بوزلفة الجوفية,015
م إبتدائية نهج البريد - منزل بوزلفة الجوفية,016
م إعدادية بمنـزل بـوزلفـة*,091
