الروضة البلدية بئر شلوف,001
م إبتدائية  2مارس 34 نابل - بئر شلوف,002
م إبتدائية ابن خلدون - الحدائق,003
م إبتدائية الحبيب ثامر نابل - الحدائق,004
م إبتدائية الحبيب كرمة - الحدائق,005
م إبتدائية العربي زروق - الأسواق,006
م إبتدائية النارنج - النور,007
م إبتدائية بوغدير - الأسواق,008
م إبتدائية بئر شلوف,009
م إبتدائية حي الهوارية السلامة - النور,010
م إبتدائية سيدي عاشور - بئر شلوف,011
م إبتدائية سيدي عمر - الأسواق,012
م إبتدائية عين كميشة - النور,013
م إبتدائية نيابوليس,014
م إعدادية  ساحة الشهداء بنابـل*,091
م إعدادية الطاهر الحداد بنابل*,092
