م إبتدائية   14 جانفي بوسالم - بوسالم الجنوبية,001
م إبتدائية الأنس - البراهمي,002
م إبتدائية البراهمي,003
م إبتدائية البئر الأخضر بوسالم,004
م إبتدائية الروماني,005
م إبتدائية المرجى,006
م إبتدائية المنقوش,007
م إبتدائية الهناء بوسالم - بوسالم الشمالية,008
م إبتدائية حوال الوادي بوسالم - المنقوش,009
م إبتدائية زامه - البئر الأخضر,010
م إبتدائية سيدي عبيد بوسالم,011
م إبتدائية سيدي علي الجبيني - بوسالم الشمالية,012
م إبتدائية مجاز الشرف - سيدي عبيد,013
م إبتدائية مركز الكدية,014
م إبتدائية نهج الاستقلال بوسالم - بوسالم الشمالية,015
م إبتدائية نهج الجامع بوسالم - بوسالم الشمالية,016
م إبتدائية نهج الحبيب ثامر - بوسالم الشمالية,017
م إبتدائية الدزيرة - سيدي عبيد,018
معهد شارع البيئة*,091
