م إبتدائية ابن خلدون السواسي,001
م إبتدائية الجعاونية - سيدي الناصر,002
م إبتدائية القوادرية - سيدي الناصر,003
م إبتدائية الجماملة - سيدي زيد,004
م إبتدائية البزاينية - سيدي زيد,005
م إبتدائية الشعرة - سيدي زيد,006
م إبتدائية السودان - سيدي بوهلال,007
م إبتدائية الفــرجان - سيدي بوهلال,008
م إبتدائية السلايمية - الشريشيرة,009
م إبتدائية المرابطية - الشريشيرة,010
م إبتدائية أولاد عبد الله - الكساسبة,011
م إبتدائية أولاد عون - الكساسبة,012
م إبتدائية أولاد خليفة - أولاد مولاهم الشمالية,013
م إبتدائية الحثرمين - أولاد مولاهم الشمالية,014
م إبتدائية أولاد مولاهم الغربية,015
م إبتدائية الطوالب السواسي - الشحيمات القبلية,016
م إبتدائية الستوت - الشحيمات القبلية,017
م إبتدائية  2مارس 34 السواسي,018
م إبتدائية أولاد عمر السيدة,019
م إبتدائية الحميدات - سيدي الناصر,020
م إبتدائية سيدي زيد,021
م إبتدائية القدارات - سيدي بوهلال,022
م إبتدائية الجميعات - الشريشيرة,023
م إبتدائية الكساسبة,024
م إبتدائية الزعيرات,025
م إبتدائية أولاد مولاهم الشرقية,026
م إبتدائية الرجيبات - أولاد مولاهم الغربية,027
م إبتدائية الشحيمات الجنوبية - الشحيمات القبلية,028
م إعدادية طريق الجم الـسـواســي*,091
