م إبتدائية الذراع - إبراهيم الزهار,001
م إبتدائية الجوابلية - إبراهيم الزهار,002
م إبتدائية وادي الكرم - إبراهيم الزهار,003
م إبتدائية اولاد سعـد - إبراهيم الزهار,004
م إبتدائية الفرش - إبراهيم الزهار,005
م إبتدائية الخضاورية - إبراهيم الزهار,006
م إبتدائية الجباس - الثماد,007
م إبتدائية الحسناوي - الثماد,008
م إبتدائية عقبة ابن نافع سبيبة,009
م إبتدائية الشابي حي  الخضراء - سبيبة,010
م إبتدائية ولجة عقيل - سبيبة الاحواز,011
م إبتدائية بوروين - سبيبة الاحواز,012
م إبتدائية سيدي نصر - سبيبة الاحواز,013
م إبتدائية المحافظية - سبيبة الاحواز,014
م إبتدائية ابن خلدون - سبيبة الاحواز,015
م إبتدائية البعـازة - سبيبة الاحواز,016
م إبتدائية بومفتاح - عين الخمائسية,017
م إبتدائية القنة - عين الخمائسية,018
م إبتدائية عين زيان 2,019
م إبتدائية فتح الغلايقية - وادي الحطب,020
م إبتدائية نهج الفراتي  - سبيبة,021
م إبتدائية نور المعارف - سبيبة الاحواز,022
م إبتدائية الكنترة - وادي الحطب,023
م إبتدائية سيدي ابراهيم الزهار,024
م إبتدائية عين زيان 1,025
م إبتدائية الثماد,026
م إبتدائية عين الخمايسية,027
م إعدادية بــسـبــيــبــة*,091
