م إبتدائية  2مارس 34 المروج - المروج (1),001
م إبتدائية   14 جانفي المروج - المروج (1),002
م إبتدائية حي النصر المروج - المروج (3),003
م إبتدائية خير الدين باشا المروج 3,004
م إبتدائية ابن رشيق نهج الجزائر - المروج (3),005
م إبتدائية الفوز 2 المروج 4,006
م إبتدائية الفوز1 المروج 5,007
م إبتدائية حي الفل بيرم التونسي - المروج (5),008
م إبتدائية  ابن سينا المروج الخامس,009
م إبتدائية حي بشرى المروج 4 - المروج (5),010
م إبتدائية حي فيالة - فرحات حشاد,011
م إبتدائية ابن منظور المروج - المروج (1),012
م إبتدائية حي الرياض المروج 3,013
م إبتدائية الطاهر الحداد المروج - المروج (4),014
م إبتدائية الفوز 3 المروج 5,015
م إبتدائية الأمل البساتين المروج - بئر القصعة,016
م إبتدائية حي عمر اللواتي - فرحات حشاد,017
م إعدادية الرشيدية المروج 3*,091
