م إبتدائية 14 جانفي أم العرائس - المحطة,001
م إبتدائية البركة أم العرائس - المحطة,002
م إبتدائية الحي العمالي ام العرائس - المحطة,003
م إبتدائية الدوارة ام العرائس,004
م إبتدائية الشنوفية أم العرائس,005
م إبتدائية العهد الجديد أم العرائس,006
م إبتدائية القطع أم العرائس,007
م إبتدائية الكدية أم العرائس - سيدي بو بكر,008
م إبتدائية الكسيلة ام العرائس,009
م إبتدائية اللوزة أم العرائس - الشنوفية,010
م إبتدائية المحطة ام العرائس,011
م إبتدائية المنجم ام العرائس - المحطة,012
م إبتدائية ام الاقصاب ام العرائس,013
م إبتدائية أولااد السّاعي - سيدي بو بكر,014
م إبتدائية بن عمار أم العرائس - السواطير,015
م إبتدائية حشانة ام العرائس,016
م إبتدائية حي الزهور أم العرائس - المحطة,017
م إبتدائية حي السوالمية أم العرائس - المحطة,018
م إبتدائية خالد ابن الوليد أم العرائس - سيدي بوبكر,019
م إبتدائية سيدي بوبكر ام العرائس,020
م إبتدائية طارق ابن زياد أم العرائس,021
م إبتدائية عقلة احمد ام العرائس - أم الأقصاب,022
م إبتدائية هنشير القلال أم العرائس - الدوارة,023
م إعدادية إبن منظور أم العرائس*,091
