م إبتدائية الكرمة1 - البساتين,001
م إبتدائية البساتين,002
م إبتدائية العريش - البساتين,003
م إبتدائية الحي الأولمبي القصرين - النور الشرقي,004
م إبتدائية النور1 القصرين - النور الشرقي,005
م إبتدائية الشابي القصرين - النور الشرقي,006
م إبتدائية المنقار القصرين - النور الشرقي,007
م إبتدائية بولعابة - النور الشرقي,008
م إبتدائية  14 جانفي القصرين  - النور الغربي,009
م إبتدائية الفاضل بن عاشور 1 - النور الغربي,010
م إبتدائية الفتح 3 محمود المسعيدي - بولعابة,011
م إبتدائية الشرقية-القصرين - النور الشرقي,012
م إبتدائية عمر ابن الخطاب - النور الغربي,013
م إبتدائية حي ميمون - البساتين,014
م إبتدائية حي المنار - الخضراء,015
م إبتدائية الفاضل بن عاشور 2 - العريش,016
م إبتدائية الكرمة 2 - بولعابة,017
م إعدادية حي البساتين القصرين*,091
م إعدادية ابن خلدون*,092
