م إبتدائية الارطس القطار - القطار الغربية,001
م إبتدائية العمائم القطار - القطار الشرقية,002
م إبتدائية القطار - القطار الغربية,003
م إبتدائية الواحة القطار - القطار الشرقية,004
م إبتدائية اولاد بوسعد القطار - الساكت,005
م إبتدائية اولاد بوعمران 2 القطار - العنق,006
م إبتدائية اولاد بوعمران1 القطار - العنق,007
م إبتدائية بئر سعد القطار,008
م إبتدائية دخلة بوسعد  - الساكت,009
م إبتدائية عرباطة القطار - القطار الغربية,010
م إبتدائية ماجني القطار - القطار الغربية,011
م إبتدائية منطقة حمادي القطار - بئر سعد,012
م إبتدائية نشيو القطار - القطار الشرقية,013
م إبتدائية نهج احمد التليلي القطار - القطار الغربية,014
معهد  القطار*,091
