م إبتدائية  2مارس 34 - الرميلية,001
م إبتدائية التحول - الرميلية,002
م إبتدائية الحشانة - سوق الجديد,003
م إبتدائية الرميلية,004
م إبتدائية الزفزاف,005
م إبتدائية الصعادلية - سوق الجديد,006
م إبتدائية القصيرة - غريويس,007
م إبتدائية المساترية - سقدال,008
م إبتدائية المصابحية - غريويس,009
م إبتدائية النهوض - القصيرة,010
م إبتدائية أولاد خضر - سقدال,011
م إبتدائية أولاد ظاهر - الرميلية,012
م إبتدائية أولاد ظاهر 2 - الرميلية,013
م إبتدائية أولاد محمد النباهة - بئر بدر,014
م إبتدائية بوعطوش - سوق الجديد,015
م إبتدائية دخلة الزفزاف,016
م إبتدائية سقدال - غريويس,017
م إبتدائية سيدي بوشمال - الزفزاف,018
م إبتدائية فولاب - الرميلية,019
معهد السوق الجديد*,091
